lp,Residuo tipo,Kg,Origen,Comentarios,,,,,,,,,,,,,,,,
30/4/2020,Tetra,77,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Pet Cristal,278,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Pet Color,52,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Cartón,143,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Cartón segunda,195,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Diario,49,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Revista,62,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Planilla blanca,464,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Vidrio,1247,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Tapitas,45,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Aluminio,31,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Plástico,120,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Hojalata,69,Puntos Verdes,,,,,,,,,,,,,,,,,
30/4/2020,Rechazo (basura),403,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Pet Cristal,177,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Pet Color,26,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Cartón,156,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Cartón segunda,116,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Diario,39,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Revista,58,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Planilla blanca,229,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Vidrio,1159,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Tapitas,13,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Aluminio,21,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Plástico,85,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Nylon,20,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Hojalata,54,Puntos Verdes,,,,,,,,,,,,,,,,,
6/5/2020,Rechazo (basura),183,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Tetra,52,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Pet Cristal,137,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Pet Color,23,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Cartón,114,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Cartón segunda,110,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Diario,18,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Revista,34,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Planilla blanca,90,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Vidrio,1021,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Tapitas,18,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Aluminio,29,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Plástico,68,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Hojalata,63,Puntos Verdes,,,,,,,,,,,,,,,,,
20/5/2020,Rechazo (basura),288,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Tetra,52,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Pet Cristal,137,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Pet Color,23,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Cartón,114,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Cartón segunda,110,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Diario,18,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Revista,34,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Planilla blanca,90,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Vidrio,1021,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Tapitas,18,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Aluminio,29,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Plástico,63,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Hojalata,63,Puntos Verdes,,,,,,,,,,,,,,,,,
21/5/2020,Rechazo (basura),288,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Pet cristal,131,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Pet color,24,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Plástico,52,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Tapitas,11,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Cartón,102,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Diario,48,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Revista,24,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Cartón segunda,118,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Planilla blanca,216,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Vidrio,786,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Hojalata,36,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Aluminio,23,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Tetra,59,Puntos Verdes,,,,,,,,,,,,,,,,,
3/6/2020,Rechazo (basura),249,Puntos Verdes,,,,,,,,,,,,,,,,,
